team,rating,inaugural_season
Brooklyn Nets,1400,1976
Charlotte Hornets,1400,2004
Chicago Bulls,1400,1966
Cleveland Cavaliers,1400,1970
Dallas Mavericks,1400,1980
Denver Nuggets,1550,1976
Houston Rockets,1400,1967
Indiana Pacers,1450,1976
Los Angeles Clippers,1400,1970
Memphis Grizzlies,1400,1995
Miami Heat,1400,1988
Milwaukee Bucks,1400,1968
Minnesota Timberwolves,1400,1989
New Orleans Pelicans,1400,2002
Oklahoma City Thunder,1400,1967
Orlando Magic,1400,1989
Phoenix Suns,1400,1968
Portland Trailblazers,1400,1970
San Antonio Spurs,1500,1976
Toronto Raptors,1400,1995
Utah Jazz,1400,1974
Washington Wizards,1400,1961
Boston Celtics,1500,1946
Golden State Warriors,1500,1946
New York Knicks,1500,1946
Philadelphia 76ers,1500,1949
Atlanta Hawks,1500,1949
Detroit Pistons,1500,1948
Los Angeles Lakers,1500,1948
Sacramento Kings,1500,1948
Anderson Packers,1500,1949
Chicago Stags,1500,1946
Cleveland Rebels,1500,1946
Denver Nuggets (1st),1500,1949
Detroit Falcons,1500,1946
Indianapolis Jets,1500,1948
Indianapolis Olympians,1500,1949
Pittsburgh Ironmen,1500,1946
Providence Steamrollers,1500,1946
Sheboygan Redskins,1500,1949
St. Louis Bombers,1500,1946
Toronto Huskies,1500,1946
Washington Capitols,1500,1946
Waterloo Hawks,1500,1949
Baltimore Bullets,1500,1947